"Story","Title","Result","Date","Stability","Duration (s)"
"Validation on Sign Up Positive test cases","Verify that the password should be displayed on an eye click for Password fields","SUCCESS","2021-08-30T11:55:57.45968+05:30[Asia/Calcutta]","0.0","0.26"
"Validation on Sign Up Positive test cases","Verify that the Confirm password field by comparing data entered in the Password field","SUCCESS","2021-08-30T11:55:57.7274623+05:30[Asia/Calcutta]","0.0","0.12"
"Validation on Sign Up Positive test cases","Verify click on Sign Up with valid credentials","SUCCESS","2021-08-30T11:55:57.8601053+05:30[Asia/Calcutta]","0.0","0.27"
"Validation on Sign Up Positive test cases","Verify the scenario when navigate to the otp Login page","PENDING","2021-08-30T11:55:58.1551655+05:30[Asia/Calcutta]","0.0","0.23"
"Validate login negative functionality","Validate that the user is not allowed to login when Phone number and Password fields are blank","ERROR","2021-08-30T11:55:58.3981041+05:30[Asia/Calcutta]","0.0","0.01"
"Validate login negative functionality","Validate that the user should get a validation message on entering invalid credentials in the 'Login' Page","SUCCESS","2021-08-30T11:55:58.4214031+05:30[Asia/Calcutta]","0.0","0.23"
"Validate login negative functionality","Validate that the user is not allowed to login with invalid 'Phone number' and valid 'Password'","SUCCESS","2021-08-30T11:55:58.6633844+05:30[Asia/Calcutta]","0.0","0.24"
"Validate login negative functionality","Validate that the user is not allowed to login with invalid Password and valid phone number","SUCCESS","2021-08-30T11:55:58.9097605+05:30[Asia/Calcutta]","0.0","0.26"
"Validate login positive functionality","Validate that the 'Phone number' field is prefixed with +1 country code","SUCCESS","2021-08-30T11:55:59.1781007+05:30[Asia/Calcutta]","0.0","0.31"
"Validate login positive functionality","Validate that the user is able to click on the 'Forgot password?' link","SUCCESS","2021-08-30T11:55:59.4924662+05:30[Asia/Calcutta]","0.0","0.01"
"Validate login positive functionality","Validate that the user is able click on the 'Sign up' link","SUCCESS","2021-08-30T11:55:59.5084244+05:30[Asia/Calcutta]","0.0","0.01"
"Validate login positive functionality","Validate that the user is able to enter  the password in the 'Password' field","SUCCESS","2021-08-30T11:55:59.5268942+05:30[Asia/Calcutta]","0.0","0.14"
"Validate login positive functionality","Validate that the user is able to Login","SUCCESS","2021-08-30T11:55:59.6761369+05:30[Asia/Calcutta]","0.0","0.24"
"Validate login positive functionality","Validate that the user is navigated to Landing page on clicking the Log out option","SUCCESS","2021-08-30T11:55:59.9237225+05:30[Asia/Calcutta]","0.0","0.26"
"Verify the header page positive scenarios","Validate that the mpowered health logo/hamburger in the header","SUCCESS","2021-08-30T11:56:00.1900562+05:30[Asia/Calcutta]","0.0","0.41"
"Verify the header page positive scenarios","Validation of the Drop down tab","ERROR","2021-08-30T11:56:00.605106+05:30[Asia/Calcutta]","0.0","0.12"
"Verify the header page positive scenarios","Validate profile page on clicking  Your profile tab","ERROR","2021-08-30T11:56:00.7333492+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validate  Your ratings dashboard","ERROR","2021-08-30T11:56:00.7532984+05:30[Asia/Calcutta]","0.0","0.12"
"Verify the header page positive scenarios","Validate the alerts page","ERROR","2021-08-30T11:56:00.8871462+05:30[Asia/Calcutta]","0.0","0.13"
"Verify the header page positive scenarios","Validate Help or FAQ  page","ERROR","2021-08-30T11:56:01.0298852+05:30[Asia/Calcutta]","0.0","0.13"
"Verify the header page positive scenarios","Validate  Privacy Policy dialogue box on clicking on the Privacy Policy","ERROR","2021-08-30T11:56:01.17705+05:30[Asia/Calcutta]","0.0","0.13"
"Verify the header page positive scenarios","Validate Terms & Conditions dialogue box on clicking on the Terms & Conditions","ERROR","2021-08-30T11:56:01.3166765+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validate the Contact Us page","ERROR","2021-08-30T11:56:01.3346641+05:30[Asia/Calcutta]","0.0","0.01"
"Verify the header page positive scenarios","Validate that the user is navigated to the Feedback Port   page  on clicking Feedback","ERROR","2021-08-30T11:56:01.3515828+05:30[Asia/Calcutta]","0.0","0.14"
"Verify the header page positive scenarios","Validate the Landing page on clicking Log out icon","ERROR","2021-08-30T11:56:01.4999883+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Utilities page negative test cases","Navigate to Utilities screen","SUCCESS","2021-08-30T11:56:01.6479833+05:30[Asia/Calcutta]","0.0","0.24"
"Validation on Utilities page negative test cases","Verify that click on all the Tiles in the Utilities dashboard","SUCCESS","2021-08-30T11:56:01.8980751+05:30[Asia/Calcutta]","0.0","0.24"
"Validation on Utilities page negative test cases","Add card details  in the Wallet dashboard","ERROR","2021-08-30T11:56:02.145054+05:30[Asia/Calcutta]","0.0","0.01"
"Validation on Utilities page negative test cases","Add bank details  in the Wallet dashboard","SUCCESS","2021-08-30T11:56:02.1689892+05:30[Asia/Calcutta]","0.0","0.23"
"Validation on Utilities page negative test cases","Check deactivate tab","SUCCESS","2021-08-30T11:56:02.4114417+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Award Points Page","Validate navigation to award points page","SUCCESS","2021-08-30T11:56:02.5599411+05:30[Asia/Calcutta]","0.0","0.49"
"Validation on Award Points Page","Verify the validation message on entering amount more than the available amount in ""Redeem Award Points"" page","SUCCESS","2021-08-30T11:56:03.0613238+05:30[Asia/Calcutta]","0.0","0.36"
"Validation on Award Points Page","Validate the validation message on entering amount less than the available amount in ""Redeem Award Points"" page","SUCCESS","2021-08-30T11:56:03.425842+05:30[Asia/Calcutta]","0.0","0.23"
"Validation on Award Points Page","Unable to click on the 'Redeem' button on leaving the field 'Select a gift card' blank""","SUCCESS","2021-08-30T11:56:03.6625722+05:30[Asia/Calcutta]","0.0","0.01"
"Validation on Award Points Page","Unable to click on the 'Redeem' button on leaving the field 'Enter Amount' blank on ""Redeem Award Points"" page","ERROR","2021-08-30T11:56:03.6815208+05:30[Asia/Calcutta]","0.0","0.01"
"User must click on the Award Point and navigated to the Reddemed award points page","Validate navigation to utility page","SUCCESS","2021-08-30T11:56:03.7004729+05:30[Asia/Calcutta]","0.0","0.25"
"User must click on the Award Point and navigated to the Reddemed award points page","Validate Tile ""Award Points""in the Utilities dashboard","SUCCESS","2021-08-30T11:56:03.9578165+05:30[Asia/Calcutta]","0.0","0.23"
"User must click on the Award Point and navigated to the Reddemed award points page","Validate the Redeem points  in the Award points dashboard.","SUCCESS","2021-08-30T11:56:04.1939778+05:30[Asia/Calcutta]","0.0","0.15"
"User must click on the Award Point and navigated to the Reddemed award points page","Validate the navigation to the redeemed page","SUCCESS","2021-08-30T11:56:04.3476505+05:30[Asia/Calcutta]","0.0","0.01"
"Validation on Home Page","Validate that the user is navigated to Welcome page","ERROR","2021-08-30T11:56:04.3626138+05:30[Asia/Calcutta]","0.0","0.01"
"Validation on Home Page","Validate that the user is able to Login with valid data","SUCCESS","2021-08-30T11:56:04.3887374+05:30[Asia/Calcutta]","0.0","0.01"
"Validation on Home Page","Validate that the user is in Home page","SUCCESS","2021-08-30T11:56:04.4044997+05:30[Asia/Calcutta]","0.0","0.14"
"Validation on Home Page","Validate that the user is navigated to the Second Opinion page on clicking 'Request for second opinion' button","SUCCESS","2021-08-30T11:56:04.5546785+05:30[Asia/Calcutta]","0.0","0.25"
"Validation on Home Page","Validate that the user is navigated to the  Refer a friend page on clicking 'Refer a friend' button","SUCCESS","2021-08-30T11:56:04.8115797+05:30[Asia/Calcutta]","0.0","2.26"
"Validate Second Opinion Dashboard","Validate that the user is able to login with valid credentials","SUCCESS","2021-08-30T11:56:07.0739195+05:30[Asia/Calcutta]","0.0","0.25"
"Validate Second Opinion Dashboard","Validate that the user is able to click on the Second Opinion tab","SUCCESS","2021-08-30T11:56:07.3281252+05:30[Asia/Calcutta]","0.0","0.28"
"Validate Second Opinion Dashboard","Validate that the user is able to click on Resume Cases and is navigated to uplaod scans page","ERROR","2021-08-30T11:56:07.6115544+05:30[Asia/Calcutta]","0.0","0.12"
"Validate Second Opinion Dashboard","Validate that User is able to click on Requested tab","SUCCESS","2021-08-30T11:56:07.7342254+05:30[Asia/Calcutta]","0.0","0.26"
"Validate Second Opinion Dashboard","Validate that User is able to click on Reviewed tab","SUCCESS","2021-08-30T11:56:07.997174+05:30[Asia/Calcutta]","0.0","0.26"
"User should be able to click on the Utilities tab and able to use all the services under Utilities","Validate the navigation to Utilities screen","SUCCESS","2021-08-30T11:56:08.2682342+05:30[Asia/Calcutta]","0.0","0.24"
"User should be able to click on the Utilities tab and able to use all the services under Utilities","Validate the message on leaving fields blank in the Add Card page","SUCCESS","2021-08-30T11:56:08.5129782+05:30[Asia/Calcutta]","0.0","0.37"
"User should be able to click on the Utilities tab and able to use all the services under Utilities","Validate the message on entering invalid details in the Add Card page","SUCCESS","2021-08-30T11:56:08.8871484+05:30[Asia/Calcutta]","0.0","0.36"
"User should be able to click on the Utilities tab and able to use all the services under Utilities","Validate message on leaving fields blank in the Add Bank page","SUCCESS","2021-08-30T11:56:09.2527625+05:30[Asia/Calcutta]","0.0","0.36"
"User should be able to click on the Utilities tab and able to use all the services under Utilities","Validate message on entering invalid details in the Add Bank page","ERROR","2021-08-30T11:56:09.613961+05:30[Asia/Calcutta]","0.0","0.01"
"User should be able to click on the Utilities tab and able to use all the services under Utilities","Validate award points page","SUCCESS","2021-08-30T11:56:09.6319152+05:30[Asia/Calcutta]","0.0","0.01"
"User should be able to click on the Utilities tab and able to use all the services under Utilities","Validate ID card","SUCCESS","2021-08-30T11:56:09.646875+05:30[Asia/Calcutta]","0.0","0.15"
"User should be able to click on the Utilities tab and able to use all the services under Utilities","Validate Upload","SUCCESS","2021-08-30T11:56:09.7986975+05:30[Asia/Calcutta]","0.0","0.01"
